날짜 대진팀 경기결과 Min. PTS 3P FT OFF DEF REB AST STL BLK TO PF
2016.11.30 창원LG W80-75 12'18" 10 1 1 1 2 3 0 0 0 0 0 
2016.11.25 울산모비스 W70-83 10'0" 4 0 2 1 2 3 2 0 1 1 1 
2016.11.23 인천전자랜드 W70-91 3'25" 0 0 0 0 0 0 0 0 0 0 0 
2016.11.19 전주KCC W78-81 8'47" 5 1 0 1 2 3 0 0 0 0 3 
2016.11.16 창원LG W76-84 3'39" 2 0 0 0 0 0 0 0 0 0 0 
2016.11.12 고양오리온 L81-91 5'18" 2 0 0 2 0 2 0 0 0 0 0 
2016.11.06 울산모비스 L86-75 2'2" 0 0 0 0 0 0 0 0 0 0 2 
2016.11.05 원주동부 L88-73 10'43" 6 0 2 2 0 2 0 1 0 0 2 
2016.11.03 부산KT W70-94 7'53" 4 0 0 1 3 4 0 0 0 0 0 
2016.10.30 전주KCC W78-76 1'4" 2 0 0 0 0 0 0 0 0 0 0 
2016.10.25 서울삼성 L114-91 9'26" 2 0 0 1 0 1 0 0 0 1 0 

평균 82.8 - 81.3 6'47" 3.4 0.2 0.5 0.8 0.8 1.6 0.2 0.1 0.1 0.2 0.7 
