날짜 대진팀 경기결과 Min. PTS 3P FT OFF DEF REB AST STL BLK TO PF
2016.12.03 서울삼성 L88-98 29'4" 0 0 0 0 4 4 1 3 0 0 3 
2016.11.30 창원LG W80-75 35'9" 3 1 0 1 4 5 1 2 0 2 3 
2016.11.27 부산KT W96-71 29'46" 9 1 2 2 2 4 1 1 0 2 1 
2016.11.25 울산모비스 W70-83 26'42" 6 1 1 0 2 2 2 1 0 1 2 
2016.11.23 인천전자랜드 W70-91 37'58" 2 0 0 2 3 5 3 5 0 3 2 
2016.11.19 전주KCC W78-81 33'2" 3 0 1 0 5 5 3 1 0 2 2 
2016.11.16 창원LG W76-84 31'32" 5 1 0 1 2 3 6 3 0 0 4 
2016.11.12 고양오리온 L81-91 12'57" 0 0 0 0 2 2 1 0 0 0 0 
2016.11.06 울산모비스 L86-75 17'54" 0 0 0 0 1 1 1 0 0 1 2 
2016.11.05 원주동부 L88-73 24'59" 1 0 1 1 4 5 1 1 0 1 0 
2016.11.03 부산KT W70-94 12'9" 3 1 0 0 1 1 1 2 0 1 1 
2016.10.30 전주KCC W78-76 28'10" 8 2 0 0 1 1 5 3 0 0 5 
2016.10.28 인천전자랜드 W87-86 32'50" 7 0 1 1 6 7 5 1 1 0 4 
2016.10.25 서울삼성 L114-91 23'58" 7 2 1 0 2 2 2 1 0 1 3 
2016.10.22 서울SK W100-95 22'48" 2 0 0 1 3 4 1 1 0 0 3 

평균 85.5 - 82.9 26'36" 3.7 0.6 0.5 0.6 2.8 3.4 2.3 1.7 0.1 0.9 2.3 
