2016.12.07	인천전자랜드	W77-61	25'41"	8	0	2	3	3	6	2	2	0	1	3
2016.12.03	원주동부	W81-86	25'29"	16	0	2	0	2	2	1	2	0	0	1
2016.11.26	부산KT	W107-85	26'47"	17	0	3	5	2	7	1	2	0	3	3
2016.11.20	고양오리온	L72-83	20'10"	8	0	2	3	1	4	0	1	0	2	3
2016.11.19	안양KGC	L78-81	22'52"	9	0	1	3	2	5	1	0	0	1	3
2016.11.17	서울삼성	L82-77	21'25"	15	1	2	1	3	4	0	0	0	0	3
2016.11.12	인천전자랜드	L82-78	23'16"	12	0	4	1	2	3	1	0	0	3	2
2016.11.10	부산KT	W89-72	24'32"	13	0	5	0	3	3	1	0	0	4	2
2016.11.08	서울삼성	L72-86	26'14"	14	0	4	1	1	2	2	2	0	3	5
2016.11.05	서울SK	L78-82	18'24"	3	0	1	1	2	3	0	2	0	0	5

평균	81.4 - 79.5	23'29"	11.5	0.1	2.6	1.8	2.1	3.9	0.9	1.1	0.0	1.7	3.0
