1	최형우	삼성	138	618	519	195	31	99	144	83	83	2	0.398	0.376	0.464	0.653	1.117	0.469	8.96
2	김태균	한화	144	652	529	193	23	94	136	108	97	1	0.410	0.365	0.475	0.569	1.044	0.452	7.57
3	테임즈	NC	123	529	436	140	40	118	121	74	103	13	0.333	0.321	0.427	0.679	1.106	0.453	6.38
4	최정	SK	141	606	500	144	40	106	106	77	126	1	0.306	0.288	0.403	0.580	0.983	0.416	6.30
5	김재환*	두산	134	568	492	160	37	107	124	71	107	8	0.348	0.325	0.407	0.628	1.035	0.432	5.92
6	강민호	롯데	116	460	381	123	20	65	72	66	91	4	0.377	0.323	0.433	0.549	0.982	0.424	5.75
7	박석민	NC	126	506	427	131	32	77	104	56	95	2	0.326	0.307	0.404	0.578	0.982	0.417	5.27
8	손아섭	롯데	144	672	575	186	16	118	81	92	104	42	0.372	0.323	0.418	0.468	0.886	0.397	5.22
9	황재균	롯데	127	559	498	167	27	97	113	49	66	25	0.339	0.335	0.394	0.570	0.964	0.407	5.20
10	이범호	KIA	138	560	484	150	33	93	108	59	57	1	0.292	0.310	0.391	0.562	0.953	0.402	4.96
11	나지완	KIA	118	486	380	117	25	84	90	85	90	6	0.342	0.308	0.451	0.571	1.022	0.442	4.93
12	양의지	두산	108	392	332	106	22	66	66	40	29	2	0.293	0.319	0.405	0.569	0.974	0.414	4.69
13	박경수	kt	121	476	402	126	20	64	80	65	80	3	0.346	0.313	0.412	0.522	0.934	0.406	4.44
14	이용규	한화	113	530	452	159	3	98	41	63	29	21	0.371	0.352	0.438	0.427	0.865	0.398	4.35
15	구자욱	삼성	108	495	428	147	14	105	77	55	68	10	0.379	0.343	0.420	0.547	0.967	0.421	4.26
16	박건우	두산	132	540	484	162	20	95	83	38	86	17	0.371	0.335	0.390	0.550	0.940	0.403	4.21
17	민병헌	두산	134	579	511	166	16	98	87	48	91	9	0.368	0.325	0.396	0.495	0.891	0.391	4.15
18	서건창	넥센	140	646	560	182	7	111	63	69	58	26	0.351	0.325	0.406	0.441	0.847	0.382	4.13
19	오재일	두산	105	455	380	120	27	69	92	64	73	1	0.324	0.316	0.411	0.592	1.003	0.423	4.10
20	김주찬	KIA	130	555	511	177	23	97	101	30	68	9	0.362	0.346	0.386	0.566	0.952	0.405	3.95
